Year,Company,Female ,Male , White, Asian, Latino, Black, Multi, Other, Undeclared
2018,Yahoo!,3700,6300,4500,4400,400,200,200,300,0
2018,Google,3100,6900,5300,3600,400,300,400,0,0
2018,Apple,3200,6800,5400,2100,1300,900,300,100,200
2018,Cisco,2400,7600,5300,3700,500,400,100,0,0
2018,eBay,4000,6000,5000,3900,600,300,100,100,0
2018,HP,3700,6300,7300,1200,800,400,200,0,0
2018,Indiegogo,5000,5000,5800,2800,700,400,0,300,0
2018,Nvidia,1700,8300,3700,4500,300,100,1400,0,0
2018,Dell,2800,7200,6900,900,1100,1000,0,100,0
2018,Ingram Micro,3100,6900,5200,1400,1900,1400,100,0,0
2018,Intel,2700,7400,4800,3900,900,400,0,100,0
2018,Groupon,4400,5600,6200,2000,800,800,0,300,0
2018,Amazon,3900,6100,4800,1300,1300,2100,0,500,0
2018,Etsy ,5400,4600,7900,1000,400,300,400,0,0
2018,Microsoft,2600,7400,5600,3100,600,400,200,0,0
2018,Salesforce,3100,6900,6500,2400,400,300,300,0,200
2018,Pandora,4900,5100,6500,1600,800,500,500,100,0
2018,Uber,3800,6200,4900,3200,600,800,400,100,0
2018,Slack,4500,5500,5900,2400,700,500,400,100,0
2018,AirBnB ,4100,5900,5000,3600,700,300,300,100,0
2018,Netflix,4300,5700,4900,2400,600,400,0,400,1300
2018,Yelp,5400,4600,6200,1500,1000,600,500,200,0
2017,Yahoo!,3700,6300,4500,4400,400,200,200,300,0
2017,Google,3100,6900,5600,3500,400,200,400,100,0
2017,Apple,3200,6800,5400,2100,1300,900,300,100,200
2017,Cisco,2400,7600,5300,3700,500,400,100,0,0
2017,eBay,3800,6200,5200,4000,400,200,100,100,0
2017,HP,3700,6300,7300,1200,800,400,200,0,0
2017,Indiegogo,5000,5000,5800,2800,700,400,0,300,0
2017,Nvidia,1700,8300,3700,4500,300,100,1400,0,0
2017,Dell,2800,7200,6900,900,1100,1000,0,100,0
2017,Ingram Micro,3100,6900,5200,1400,1900,1400,100,0,0
2017,Intel,2600,7400,4800,3800,900,400,100,0,0
2017,Groupon,4400,5600,6200,2000,800,800,0,300,0
2017,Amazon,3900,6100,4800,1300,1300,2100,0,500,0
2017,Etsy ,5400,4600,7900,1000,400,300,400,0,0
2017,Microsoft,2600,7400,5600,3100,600,400,200,0,0
2017,Salesforce,3100,6900,6500,2400,400,300,300,0,200
2017,Pandora,4900,5100,6500,1600,800,500,500,100,0
2017,Uber,3600,6400,5000,3100,600,900,400,100,0
2016,Yahoo!,3700,6200,4700,4300,400,200,200,300,0
2016,Google,3100,6900,5900,3200,300,200,300,0,0
2016,Apple,3200,6800,5600,1900,1200,900,200,100,200
2016,Apple (excluding undeclared),3000,7000,7600,6500,3500,300,200,300,0
2016,Cisco,2300,7700,5400,0,0,0,0,0,0
2016,eBay,4300,5700,6000,2500,500,800,100,100,0
2016,HP,3300,6700,7200,600,1400,700,100,0,0
2016,Indiegogo,4500,5500,6400,2300,800,200,0,300,0
2016,Nvidia,1600,8400,3800,4400,300,100,1400,0,0
2016,Dell,3000,7000,6900,900,1100,1000,0,100,0
2016,Ingram Micro,4200,5800,6300,1100,1600,1000,0,0,0
2016,Intel,2500,7500,6100,2600,900,400,0,100,0
2016,Groupon,4700,5300,7100,1500,500,400,0,400,0
2016,Amazon,3700,6300,6000,1300,900,1500,0,300,0
2016,Etsy ,5100,4900,7900,1100,400,300,300,0,0
2016,Microsoft,2800,7200,5900,2900,500,400,100,100,0
2016,Salesforce,2900,7100,6700,2200,400,200,200,300,0
2016,Pandora,4900,5100,7100,1200,700,300,600,100,0
2016,Uber,3600,6400,5000,3100,600,900,400,100,0
2015,Yahoo!,3700,6200,5000,3900,400,200,200,200,100
2015,Google,3000,7000,6000,3100,300,200,300,0,0
2015,Apple,3100,6900,5400,1800,1100,800,200,100,600
2015,Apple (excluding undeclared),3000,7000,5900,2000,1200,900,200,100,0
2015,Cisco,2300,7700,5400,0,0,0,0,0,0
2015,eBay,4300,5700,6000,2500,500,800,100,100,0
2015,HP,3300,6700,7200,600,1400,700,100,0,0
2015,Indiegogo,4500,5500,6400,2300,800,200,0,300,0
